prompt,run_id,phase,epoch,split,evaluation_contract_id,class_name,roi_precision,roi_recall,roi_f1,pooled_precision,pooled_recall,pooled_f1,pooled_TP,pooled_FP,pooled_FN,source_sha256
1,CNN_balanced_ce,joint,1,val,NOT RECORDED IN ORIGINAL RUN,lymphocyte,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,1,val,NOT RECORDED IN ORIGINAL RUN,plasma_cell,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,1,val,NOT RECORDED IN ORIGINAL RUN,histiocyte,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,1,val,NOT RECORDED IN ORIGINAL RUN,melanophage,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,1,val,NOT RECORDED IN ORIGINAL RUN,neutrophil,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,1,val,NOT RECORDED IN ORIGINAL RUN,stroma,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,1,val,NOT RECORDED IN ORIGINAL RUN,epithelium,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,1,val,NOT RECORDED IN ORIGINAL RUN,endothelium,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,1,val,NOT RECORDED IN ORIGINAL RUN,apoptosis,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,train,NOT RECORDED IN ORIGINAL RUN,tumor,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,train,NOT RECORDED IN ORIGINAL RUN,lymphocyte,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,train,NOT RECORDED IN ORIGINAL RUN,plasma_cell,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,train,NOT RECORDED IN ORIGINAL RUN,histiocyte,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,train,NOT RECORDED IN ORIGINAL RUN,melanophage,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,train,NOT RECORDED IN ORIGINAL RUN,neutrophil,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,train,NOT RECORDED IN ORIGINAL RUN,stroma,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,train,NOT RECORDED IN ORIGINAL RUN,epithelium,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,train,NOT RECORDED IN ORIGINAL RUN,endothelium,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,train,NOT RECORDED IN ORIGINAL RUN,apoptosis,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,val,NOT RECORDED IN ORIGINAL RUN,tumor,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,val,NOT RECORDED IN ORIGINAL RUN,lymphocyte,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,val,NOT RECORDED IN ORIGINAL RUN,plasma_cell,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,val,NOT RECORDED IN ORIGINAL RUN,histiocyte,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,val,NOT RECORDED IN ORIGINAL RUN,melanophage,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,val,NOT RECORDED IN ORIGINAL RUN,neutrophil,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,val,NOT RECORDED IN ORIGINAL RUN,stroma,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,val,NOT RECORDED IN ORIGINAL RUN,epithelium,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,val,NOT RECORDED IN ORIGINAL RUN,endothelium,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,2,val,NOT RECORDED IN ORIGINAL RUN,apoptosis,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,3,train,NOT RECORDED IN ORIGINAL RUN,tumor,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,3,train,NOT RECORDED IN ORIGINAL RUN,lymphocyte,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,3,train,NOT RECORDED IN ORIGINAL RUN,plasma_cell,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,3,train,NOT RECORDED IN ORIGINAL RUN,histiocyte,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,3,train,NOT RECORDED IN ORIGINAL RUN,melanophage,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,3,train,NOT RECORDED IN ORIGINAL RUN,neutrophil,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,3,train,NOT RECORDED IN ORIGINAL RUN,stroma,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,3,train,NOT RECORDED IN ORIGINAL RUN,epithelium,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
1,CNN_balanced_ce,joint,3,train,NOT RECORDED IN ORIGINAL RUN,endothelium,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,8ddc5b0328a02be26b493cba85e76108c6ba54ce6c96979e6080bd27577b2f6d
